Source_X(m),Source_Y(m),Source_Z(m),Delta_X(m),Delta_Y(m),Delta_Z(m),w_x(m/s),w_y(m/s),w_z(m/s),T(ºC),Phi_línea_recta(º),Phi_real(º),Delta_Phi(º),Theta_línea_recta(º),Theta_real(º),Delta_Theta(º),Error_Relativo(%)
2726.4712389174597,8069.429554367686,73.3497625887658,209.89927219536958,-6542.490064802309,2508.1417797574104,0.9811645660896602,-11.710949551133712,11.952615410375959,12.0,-88.27259053773452,-88.28057331691467,-0.007982779180153443,69.034925537499,71.8330760477031,2.7981505102040956,0.06799859396000262
4762.408490664315,209.9507767934372,5499.245999697784,253.07838699161766,3387.366514825475,-1525.2866832722525,9.5373874725366,-0.4735544702020036,-8.853933176971246,17.0,87.54174749688549,87.53595318325934,-0.005794313626154235,114.18176695493078,113.6831221845226,-0.4986447704081769,0.016910706203582874
6431.665833380957,6815.943530770341,1026.126420073289,1075.3136446809276,-1567.0392363197589,5416.212923179108,-5.957518871124297,-5.862898620773414,4.070750068110932,27.0,-51.30760420889806,-51.45654034391528,-0.14893613501721603,19.33553706292027,19.823419715981498,0.48788265306122724,0.09925871178406122
1575.232885004767,473.97623843678514,6432.422181911297,7924.626446056889,1290.771487994231,-3298.1466414003594,5.717925184623866,-1.0599704245215165,-19.229786819195837,-16.0,9.641283127434058,9.642638386604625,0.0013552591705678907,112.33169243504233,111.82228554728721,-0.5094068877551194,0.031140514895269075
9040.868026443088,4628.107733757837,4521.978554103376,-517.4268093404407,2432.6389724542205,5351.717310700167,-7.789252506144454,18.81634752572164,5.239320034826008,39.0,100.31803388123303,100.14312971399124,-0.1749041672417917,24.925314928765026,22.715493500193602,-2.2098214285714235,0.11943358458970268
3340.6153509431015,282.9930041805573,3962.412402008585,5706.994625172497,6596.097268968817,2522.2445438365016,-3.280110987073993,2.086388254927158,-6.515461162639609,-10.0,48.38484476467083,48.371214629790956,-0.0136301348798753,73.8715905233951,75.34958797237469,1.4779974489795933,0.06553638780404947
5389.773563526452,8004.353793711315,8045.109546149357,4315.275684533918,-4494.126158461288,-6959.23258638908,-6.576432473682598,-0.7290520870952832,-15.814093304374651,24.0,-44.86311051621465,-44.908505903734174,-0.045395387519526764,138.16250664164662,137.4450321518507,-0.7174744897959044,0.14097873728086288
1372.7348850415622,6792.946561293386,2534.918838964778,8251.992073264548,2035.2467196914376,7433.77572038129,15.724456781651398,-1.9528647866396867,-18.22847697150859,30.0,15.25026398138026,15.145222529169656,-0.10504145221060313,48.825860015113975,46.845630423277235,-1.9802295918367392,0.13063468885373072
3046.303158459509,3271.7046915698443,3841.785123741507,5840.389255494168,1702.8141266604057,-446.8739987621575,17.613356500570156,10.44021754400162,15.518375293414984,-18.0,15.301254298931864,15.235297394305091,-0.0659569046267734,94.20117240814133,99.05129995916172,4.8501275510203925,0.13778203500739705
7211.996115058368,7147.10633818838,4857.313676471804,2283.569379985318,-1568.8435390777013,-3120.812832970012,4.3006954729885685,1.7290416688099484,-12.156030655673597,13.0,-35.48196494146453,-35.54466678392597,-0.06270184246143629,138.40241425850374,138.0436770136058,-0.3587372448979522,0.0757129685244377
3853.4538514519454,4581.617211428784,5017.876070554436,5457.959985694663,3366.762684287235,-2230.674440914162,1.288969470212507,-7.130930970719081,-0.570387267613377,23.0,32.89381234580625,32.862805050513614,-0.031007295292639014,109.17999692316417,110.58624692316417,1.40625,0.13384199609460026
8356.399937934275,2582.47996569827,2413.5667675698755,-2882.82556870218,6898.263805739749,3244.2669462067374,-0.6348071493420022,8.328340661628548,5.377612021381669,-1.0,113.19490066566631,113.19324690422232,-0.0016537614439897652,66.54235250821526,68.91450254010302,2.372150031887756,0.008796835707379576
